SampleName,site,In,Out,middate,SOI in (monthly),SOI out (monthly),SOI middate (monthly),SOI average (monthly),PNA in (daily),PNA out (daily),PNA middate (daily),PNA average (daily),AO in (daily),AO out (daily),AO middate (daily),AO average (daily)
NX6896SW,CA42,4/1/2003,4/8/2003,4/4/2003,-0.48,-0.48,-0.48,-0.48,-0.92,0.2,-0.707,-0.475666667,2.861,1.115,-0.189,1.262333333
NX7168SW,CA42,4/8/2003,4/15/2003,4/11/2003,-0.48,-0.48,-0.48,-0.48,0.2,-0.222,0.677,0.218333333,1.115,0.693,-1.085,0.241
NX7932SW,CA42,4/29/2003,5/6/2003,5/2/2003,-0.48,-0.85,-0.85,-0.726666667,0.187,-1.098,-0.806,-0.572333333,0.258,1.409,0.054,0.573666667
NX8169SW,CA42,5/6/2003,5/13/2003,5/9/2003,-0.85,-0.85,-0.85,-0.85,-1.098,-1.889,-0.969,-1.318666667,1.409,1.516,1.488,1.471
NX9759SW,CA42,6/17/2003,6/24/2003,6/20/2003,-1.75,-1.75,-1.75,-1.75,0.631,-0.528,-0.061,0.014,-0.393,0.25,0.688,0.181666667
NY4801SW,CA42,10/28/2003,11/4/2003,10/31/2003,-0.26,-0.32,-0.26,-0.28,-1.144,-1.35,-2.141,-1.545,2.929,-0.047,-1.712,0.39
NY5320SW,CA42,11/11/2003,11/18/2003,11/14/2003,-0.32,-0.32,-0.32,-0.32,-0.582,-0.851,0.368,-0.355,1.015,1.479,0.109,0.867666667
NY7142SW,CA42,12/30/2003,1/6/2004,1/2/2004,0.92,-1.31,-1.31,-0.566666667,-0.358,-0.475,-1.69,-0.841,0.006,-0.858,-0.186,-0.346
NY8221SW,CA42,1/27/2004,2/3/2004,1/30/2004,-1.31,0.77,-1.31,-0.616666667,0.127,0.031,0.402,0.186666667,-3.012,-0.577,-2.557,-2.048666667
NY9124SW,CA42,2/17/2004,2/24/2004,2/20/2004,0.77,0.77,0.77,0.77,1.277,0.334,1.12,0.910333333,-1.466,-2.818,-2.137,-2.140333333
NY9374SW,CA42,2/24/2004,3/2/2004,2/27/2004,0.77,-0.11,0.77,0.476666667,0.334,-0.341,-0.085,-0.030666667,-2.818,-0.908,-3.13,-2.285333333
NZ0648SW,CA42,3/30/2004,4/7/2004,4/3/2004,-0.11,-1.91,-1.91,-1.31,1.517,1.338,1.78,1.545,-0.831,-1.814,1.154,-0.497
NZ1248SW,CA42,4/13/2004,4/20/2004,4/16/2004,-1.91,-1.91,-1.91,-1.91,0.21,-0.693,-0.189,-0.224,0.429,-1.255,0.657,-0.056333333
NZ8124SW,CA42,10/14/2004,10/19/2004,10/17/2004,-0.42,-0.42,-0.42,-0.42,-1.138,-1.576,-1.799,-1.504333333,-0.492,-2.04,-2.042,-1.524666667
NZ8675SW,CA42,10/26/2004,11/2/2004,10/29/2004,-0.42,-1.06,-0.42,-0.633333333,-0.789,0.29,-0.117,-0.205333333,-1.123,1.097,0.527,0.167
NZ9424SW,CA42,11/16/2004,11/23/2004,11/20/2004,-1.06,-1.06,-1.06,-1.06,0.423,0.275,0.585,0.427666667,1.66,-0.625,-0.58,0.151666667
NZ9635SW,CA42,11/23/2004,11/30/2004,11/26/2004,-1.06,-1.06,-1.06,-1.06,0.275,-0.38,0.097,-0.002666667,-0.625,0.451,-0.617,-0.263666667
NZ9985SW,CA42,11/30/2004,12/7/2004,12/4/2004,-1.06,-0.94,-0.94,-0.98,-0.38,0.11,-0.161,-0.143666667,0.451,0.722,1.159,0.777333333
TA0158SW,CA42,12/7/2004,12/14/2004,12/10/2004,-0.94,-0.94,-0.94,-0.94,0.11,1.282,1.176,0.856,0.722,0.309,-0.366,0.221666667
TA0718SW,CA42,12/21/2004,12/28/2004,12/24/2004,-0.94,-0.94,-0.94,-0.94,-0.181,-1.055,-0.497,-0.577666667,0.84,2.69,1.452,1.660666667
TA0992SW,CA42,12/28/2004,1/4/2005,1/1/2005,-0.94,0.2,0.2,-0.18,-1.055,-0.76,-0.852,-0.889,2.69,4.45,3.09,3.41
TA1269SW,CA42,1/4/2005,1/11/2005,1/8/2005,0.2,0.2,0.2,0.2,-0.76,-0.615,-1.531,-0.968666667,4.45,1.723,3.482,3.218333333
TA2274SW,CA42,1/25/2005,2/1/2005,1/28/2005,0.2,-2.99,0.2,-0.863333333,1.098,0.16,0.46,0.572666667,-3.819,-1.209,-2.185,-2.404333333
TA2503SW,CA42,2/1/2005,2/8/2005,2/5/2005,-2.99,-2.99,-2.99,-2.99,0.16,-0.01,0.046,0.065333333,-1.209,1.047,-0.855,-0.339
TA3059SW,CA42,2/15/2005,2/22/2005,2/19/2005,-2.99,-2.99,-2.99,-2.99,0.665,0.199,0.296,0.386666667,-1.463,-2.517,-1.126,-1.702
TA3325SW,CA42,2/22/2005,3/1/2005,2/26/2005,-2.99,-0.26,-2.99,-2.08,0.199,0.863,0.512,0.524666667,-2.517,-2.726,-4.337,-3.193333333
TA3572SW,CA42,3/1/2005,3/8/2005,3/5/2005,-0.26,-0.26,-0.26,-0.26,0.863,0.975,1.035,0.957666667,-2.726,-2.84,-1.26,-2.275333333
TA4136SW,CA42,3/15/2005,3/22/2005,3/18/2005,-0.26,-0.26,-0.26,-0.26,-0.45,0.537,0.161,0.082666667,-1.433,-0.727,-2.256,-1.472
TA4313SW,CA42,3/22/2005,3/29/2005,3/25/2005,-0.26,-0.26,-0.26,-0.26,0.537,0.563,-0.165,0.311666667,-0.727,-0.32,-0.409,-0.485333333
TA5659SW,CA42,4/26/2005,5/3/2005,4/30/2005,-1.22,-1.46,-1.22,-1.3,1.777,0.016,0.281,0.691333333,-1.836,-0.094,-1.714,-1.214666667
TA5894SW,CA42,5/3/2005,5/10/2005,5/6/2005,-1.46,-1.46,-1.46,-1.46,0.016,1.288,0.779,0.694333333,-0.094,-1.603,-0.281,-0.659333333
TB1047SW,CA42,9/13/2005,9/21/2005,9/17/2005,0.34,0.34,0.34,0.34,1.88,1.535,1.777,1.730666667,0.809,0.444,1.634,0.962333333
TB2177SW,CA42,10/12/2005,10/19/2005,10/16/2005,1.12,1.12,1.12,1.12,1.239,-0.04,-0.774,0.141666667,-0.167,-1.918,-1.593,-1.226
TB4006SW,CA42,12/6/2005,12/13/2005,12/10/2005,0.01,0.01,0.01,0.01,0.499,0.584,0.728,0.603666667,-3.454,-1.643,0.16,-1.645666667
TB4923SW,CA42,12/27/2005,1/3/2006,12/30/2005,0.01,1.29,0.01,0.436666667,1.274,0.039,1.013,0.775333333,-2.899,-0.824,-2.182,-1.968333333
TB6915SW,CA42,2/14/2006,2/22/2006,2/18/2006,-0.12,-0.12,-0.12,-0.12,0.647,-1.442,-0.771,-0.522,0.884,1.684,0.965,1.177666667
TB7125SW,CA42,2/22/2006,2/28/2006,2/25/2006,-0.12,-0.12,-0.12,-0.12,-1.442,-1.721,-1.891,-1.684666667,1.684,-2.029,-0.685,-0.343333333
TB7199SW,CA42,2/28/2006,3/6/2006,3/3/2006,-0.12,1.32,1.32,0.84,-1.721,0.05,-0.693,-0.788,-2.029,0.059,-1.667,-1.212333333
TB7835SW,CA42,3/6/2006,3/14/2006,3/10/2006,1.32,1.32,1.32,1.32,0.05,-0.677,-0.857,-0.494666667,0.059,-2.013,0.111,-0.614333333
TB7833SW,CA42,3/14/2006,3/21/2006,3/17/2006,1.32,1.32,1.32,1.32,-0.677,-0.107,-0.37,-0.384666667,-2.013,-3.822,-2.825,-2.886666667
TB8200SW,CA42,3/21/2006,3/29/2006,3/25/2006,1.32,1.32,1.32,1.32,-0.107,-0.052,0.39,0.077,-3.822,-1.204,-1.955,-2.327
TB8674SW,CA42,3/29/2006,4/4/2006,4/1/2006,1.32,1.17,1.17,1.22,-0.052,0.05,0.083,0.027,-1.204,-1.635,-1.276,-1.371666667
TB8649SW,CA42,4/4/2006,4/11/2006,4/7/2006,1.17,1.17,1.17,1.17,0.05,-0.087,0.699,0.220666667,-1.635,1.338,-2.378,-0.891666667
TB9027SW,CA42,4/11/2006,4/18/2006,4/14/2006,1.17,1.17,1.17,1.17,-0.087,0.319,-0.529,-0.099,1.338,0.319,2.121,1.259333333
TB9287SW,CA42,4/18/2006,4/26/2006,4/22/2006,1.17,1.17,1.17,1.17,0.319,-0.12,0.76,0.319666667,0.319,-0.063,1.187,0.481
TC0305SW,CA42,5/17/2006,5/23/2006,5/20/2006,-0.96,-0.96,-0.96,-0.96,0.536,-0.877,-0.988,-0.443,0.13,0.662,0.833,0.541666667
TC2638SW,CA42,7/18/2006,7/26/2006,7/22/2006,-0.9,-0.9,-0.9,-0.9,0.156,0.145,-0.51,-0.069666667,-0.269,-0.173,0.073,-0.123
TC5928SW,CA42,10/10/2006,10/17/2006,10/13/2006,-1.52,-1.52,-1.52,-1.52,0.48,-0.565,-0.121,-0.068666667,-1.523,-3.192,-0.713,-1.809333333
TC7546SW,CA42,11/21/2006,11/28/2006,11/24/2006,0.05,0.05,0.05,0.05,-0.556,-0.59,-0.979,-0.708333333,0.487,0.684,-0.939,0.077333333
TC8514SW,CA42,12/5/2006,12/13/2006,12/9/2006,-0.39,-0.39,-0.39,-0.39,1.058,0.67,1.422,1.05,1.284,3.497,1.972,2.251
TC8775SW,CA42,12/13/2006,12/19/2006,12/16/2006,-0.39,-0.39,-0.39,-0.39,0.67,1.411,0.462,0.847666667,3.497,2.056,2.532,2.695
TC8749SW,CA42,12/26/2006,1/3/2007,12/30/2006,-0.39,-0.83,-0.39,-0.536666667,0.964,0.559,0.948,0.823666667,1.228,3.826,3.64,2.898
TC8912SW,CA42,1/3/2007,1/9/2007,1/6/2007,-0.83,-0.83,-0.83,-0.83,0.559,0.01,-0.439,0.043333333,3.826,2.605,3.975,3.468666667
TC9328SW,CA42,1/9/2007,1/16/2007,1/13/2007,-0.83,-0.83,-0.83,-0.83,0.01,0.308,-0.114,0.068,2.605,1.686,2.762,2.351
TC9843SW,CA42,1/23/2007,2/1/2007,1/28/2007,-0.83,-0.38,-0.83,-0.68,0.951,1.058,0.785,0.931333333,-0.023,-0.106,0.54,0.137
TD0518SW,CA42,2/6/2007,2/15/2007,2/11/2007,-0.38,-0.38,-0.38,-0.38,0.705,0.697,0.186,0.529333333,-1.68,-1.232,-1.529,-1.480333333
TD0596SW,CA42,2/15/2007,2/21/2007,2/18/2007,-0.38,-0.38,-0.38,-0.38,0.697,-1.068,0.152,-0.073,-1.232,-1.74,-0.529,-1.167
TD0862SW,CA42,2/21/2007,2/27/2007,2/24/2007,-0.38,-0.38,-0.38,-0.38,-1.068,-1.026,-1.242,-1.112,-1.74,0.298,-1.233,-0.891666667
TD1812SW,CA42,3/13/2007,3/23/2007,3/18/2007,-0.3,-0.3,-0.3,-0.3,-0.308,0.878,0.209,0.259666667,1.992,0.812,1.696,1.5
TD1949SW,CA42,3/23/2007,3/27/2007,3/25/2007,-0.3,-0.3,-0.3,-0.3,0.878,0.422,0.765,0.688333333,0.812,1.322,1.702,1.278666667
TD3130SW,CA42,4/17/2007,4/24/2007,4/21/2007,-0.35,-0.35,-0.35,-0.35,1.247,0.539,0.81,0.865333333,1.342,1.246,-0.34,0.749333333
TD8916SW,CA42,9/18/2007,9/25/2007,9/21/2007,0.12,0.12,0.12,0.12,1.348,1.872,1.068,1.429333333,0.665,0.12,1.589,0.791333333
TD9653SW,CA42,10/9/2007,10/16/2007,10/13/2007,0.44,0.44,0.44,0.44,-0.27,1.339,1.241,0.77,-1.925,0.429,-0.26,-0.585333333
TE1504SW,CA42,11/26/2007,12/4/2007,11/30/2007,0.82,1.49,0.82,1.043333333,0.187,1.136,-0.453,0.29,-0.395,0.015,-1.043,-0.474333333
TE1767SW,CA42,12/4/2007,12/11/2007,12/8/2007,1.49,1.49,1.49,1.49,1.136,-0.067,-0.197,0.290666667,0.015,0.342,1.827,0.728
TE2694SW,CA42,12/18/2007,12/26/2007,12/22/2007,1.49,1.49,1.49,1.49,0.203,0.142,0.833,0.392666667,-0.966,2.249,0.579,0.620666667
TE2955SW,CA42,1/2/2008,1/8/2008,1/5/2008,1.54,1.54,1.54,1.54,0.456,-0.629,-0.739,-0.304,-2.468,-0.78,-0.333,-1.193666667
TE3863SW,CA42,1/22/2008,1/29/2008,1/25/2008,1.54,1.54,1.54,1.54,-0.219,-1.068,-0.807,-0.698,3.387,1.995,4.458,3.28
TE4732SW,CA42,2/19/2008,2/26/2008,2/22/2008,2.05,2.05,2.05,2.05,1.568,0.718,0.652,0.979333333,0.737,1.7,4.59,2.342333333
TE5712SW,CA42,3/11/2008,3/18/2008,3/14/2008,1.04,1.04,1.04,1.04,0.327,-0.494,-0.47,-0.212333333,1.822,-0.075,-0.456,0.430333333
TE6188SW,CA42,3/25/2008,4/1/2008,3/28/2008,1.04,0.56,1.04,0.88,-0.743,-0.806,-0.957,-0.835333333,1.312,0.007,0.754,0.691
TE8130SW,CA42,5/20/2008,5/27/2008,5/23/2008,-0.25,-0.25,-0.25,-0.25,0.517,0.159,0.291,0.322333333,-1.328,0.317,-1.698,-0.903
TF0007SW,CA42,7/8/2008,7/15/2008,7/11/2008,0.2,0.2,0.2,0.2,-0.489,-0.645,-0.693,-0.609,0.023,1.123,-0.054,0.364
TF4766SW,CA42,11/4/2008,11/12/2008,11/8/2008,1.64,1.64,1.64,1.64,0.126,0.731,0.732,0.529666667,-0.045,1.082,0.078,0.371666667
TF5203SW,CA42,11/25/2008,12/2/2008,11/28/2008,1.64,1.43,1.64,1.57,0.924,0.202,1.026,0.717333333,-0.785,-1.431,-1.373,-1.196333333
TF6096SW,CA42,12/9/2008,12/16/2008,12/12/2008,1.43,1.43,1.43,1.43,0.31,-1.229,-1.072,-0.663666667,0.851,2.21,1.283,1.448
TF6093SW,CA42,12/16/2008,12/24/2008,12/20/2008,1.43,1.43,1.43,1.43,-1.229,-1.23,-0.794,-1.084333333,2.21,2.099,2.258,2.189
TF6480SW,CA42,12/24/2008,12/30/2008,12/27/2008,1.43,1.43,1.43,1.43,-1.23,-0.426,-0.782,-0.812666667,2.099,-1.615,0.017,0.167
TF7325SW,CA42,1/20/2009,1/27/2009,1/24/2009,0.85,0.85,0.85,0.85,0.797,-0.792,-0.609,-0.201333333,0.443,1.908,1.057,1.136
TF7952SW,CA42,2/3/2009,2/12/2009,2/8/2009,1.37,1.37,1.37,1.37,0.23,-0.617,-0.576,-0.321,-3.178,-2.165,0.208,-1.711666667
TF8455SW,CA42,2/12/2009,2/18/2009,2/15/2009,1.37,1.37,1.37,1.37,-0.617,0.239,-0.205,-0.194333333,-2.165,-0.702,-1.493,-1.453333333
TF8999SW,CA42,2/24/2009,3/10/2009,3/3/2009,1.37,-0.21,-0.21,0.316666667,-0.814,-1.037,-0.2,-0.683666667,0.383,-0.694,1.698,0.462333333
TF9316SW,CA42,3/17/2009,3/25/2009,3/21/2009,-0.21,-0.21,-0.21,-0.21,-0.308,0.044,-0.022,-0.095333333,-0.523,0.044,-0.251,-0.243333333
TG6839SW,CA42,9/29/2009,10/15/2009,10/7/2009,0.35,-1.66,-1.66,-0.99,1.998,0.808,-0.753,0.684333333,0.33,-0.768,-1.285,-0.574333333
TG8712SW,CA42,11/24/2009,12/1/2009,11/28/2009,-0.67,-0.95,-0.67,-0.763333333,0.977,1.137,0.753,0.955666667,0.383,-0.227,0.055,0.070333333
TG9210SW,CA42,12/1/2009,12/8/2009,12/5/2009,-0.95,-0.95,-0.95,-0.95,1.137,-0.286,0.722,0.524333333,-0.227,-0.833,-1.647,-0.902333333
TG9164SW,CA42,12/8/2009,12/15/2009,12/12/2009,-0.95,-0.95,-0.95,-0.95,-0.286,-0.224,-0.829,-0.446333333,-0.833,-3.89,-3.767,-2.83
TG9390SW,CA42,12/15/2009,12/22/2009,12/19/2009,-0.95,-0.95,-0.95,-0.95,-0.224,0.384,0.549,0.236333333,-3.89,-5.503,-4.651,-4.681333333
TH5225SW,CA42,5/25/2010,6/3/2010,1/0/1900,0.85,0.24,#N/A,#N/A,-1.009,0.535,#N/A,#N/A,-1.062,-0.671,#N/A,#N/A
TH9820SW,CA42,9/28/2010,10/5/2010,10/1/2010,2.44,1.8,1.8,2.013333333,-2.53,1.692,1.302,0.154666667,0.482,1.732,-0.021,0.731
TH9816SW,CA42,10/5/2010,10/12/2010,10/8/2010,1.8,1.8,1.8,1.8,1.692,0.368,1.367,1.142333333,1.732,-0.733,-1.639,-0.213333333
TI0530SW,CA42,10/12/2010,10/19/2010,10/15/2010,1.8,1.8,1.8,1.8,0.368,0.755,0.313,0.478666667,-0.733,-1.132,-0.022,-0.629
TI0531SW,CA42,10/19/2010,10/26/2010,10/22/2010,1.8,1.8,1.8,1.8,0.755,-0.11,1.101,0.582,-1.132,-0.088,-2.17,-1.13
TI0653SW,CA42,10/26/2010,11/2/2010,10/29/2010,1.8,1.62,1.8,1.74,-0.11,1.227,0.474,0.530333333,-0.088,2.381,0.826,1.039666667
TI1758SW,CA42,11/2/2010,11/9/2010,11/5/2010,1.62,1.62,1.62,1.62,1.227,0.572,1.408,1.069,2.381,-0.768,1.532,1.048333333
TI1764SW,CA42,11/16/2010,11/24/2010,11/20/2010,1.62,1.62,1.62,1.62,-1.239,-1.548,-1.819,-1.535333333,1.719,-2.705,-2.321,-1.102333333
TI1753SW,CA42,11/24/2010,11/30/2010,11/27/2010,1.62,1.62,1.62,1.62,-1.548,-0.565,-0.977,-1.03,-2.705,-1.377,-3.935,-2.672333333
TI1798SW,CA42,11/30/2010,12/7/2010,12/3/2010,1.62,2.9,2.9,2.473333333,-0.565,-0.61,-0.947,-0.707333333,-1.377,-2.306,-0.464,-1.382333333
TI2541SW,CA42,12/14/2010,12/21/2010,12/17/2010,2.9,2.9,2.9,2.9,-1.097,-2.131,-1.276,-1.501333333,-2.148,-4.23,-4.549,-3.642333333
TI3811SW,CA42,1/25/2011,2/1/2011,1/28/2011,2.01,2.12,2.01,2.046666667,1.098,0.908,1.12,1.042,-0.272,2.097,0.458,0.761
TI4683SW,CA42,2/15/2011,2/22/2011,2/18/2011,2.12,2.12,2.12,2.12,-1.404,-1.332,-1.44,-1.392,-0.007,0.759,-0.205,0.182333333
TI4988SW,CA42,2/22/2011,3/2/2011,2/26/2011,2.12,2.09,2.12,2.11,-1.332,-0.305,-1.463,-1.033333333,0.759,0.389,3.411,1.519666667
TI5264SW,CA42,3/2/2011,3/9/2011,3/5/2011,2.09,2.09,2.09,2.09,-0.305,0.349,0.361,0.135,0.389,1.444,0.665,0.832666667
TI5541SW,CA42,3/15/2011,3/22/2011,3/18/2011,2.09,2.09,2.09,2.09,1.155,0.434,0.281,0.623333333,1.799,1.986,0.856,1.547
TI5763SW,CA42,3/22/2011,3/29/2011,3/25/2011,2.09,2.09,2.09,2.09,0.434,0.941,0.209,0.528,1.986,1.456,1.619,1.687
TI6295SW,CA42,4/5/2011,4/12/2011,4/8/2011,3.02,3.02,3.02,3.02,-0.541,-0.952,-0.262,-0.585,4.106,3.438,2.982,3.508666667
TI7279SW,CA42,5/3/2011,5/10/2011,5/6/2011,0.46,0.46,0.46,0.46,-0.728,-0.644,-0.627,-0.666333333,-1.107,-0.565,-0.259,-0.643666667
TI7833SW,CA42,5/10/2011,5/17/2011,5/13/2011,0.46,0.46,0.46,0.46,-0.644,1.356,0.88,0.530666667,-0.565,0.486,-0.722,-0.267
TI7839SW,CA42,5/17/2011,5/24/2011,5/20/2011,0.46,0.46,0.46,0.46,1.356,1.181,1.745,1.427333333,0.486,0.264,-0.052,0.232666667
TI8377SW,CA42,6/1/2011,6/8/2011,6/5/2011,-0.04,-0.04,-0.04,-0.04,-0.062,-0.082,0.442,0.099333333,0.958,-1.439,-0.112,-0.197666667
TJ1706SW,CA42,8/30/2011,9/6/2011,9/3/2011,0.07,1.14,1.14,0.783333333,0.385,-0.595,-0.581,-0.263666667,0.924,0.426,0.404,0.584666667
TJ3796SW,CA42,11/1/2011,11/8/2011,11/4/2011,1.41,1.41,1.41,1.41,-0.83,-0.211,-0.573,-0.538,1.42,1.302,0.458,1.06
TJ4438SW,CA42,11/15/2011,11/22/2011,11/18/2011,1.41,1.41,1.41,1.41,-1.167,-0.081,-1.167,-0.805,0.981,1.729,0.95,1.22
TJ5320SW,CA42,12/6/2011,12/13/2011,12/9/2011,2.45,2.45,2.45,2.45,-0.354,0.206,-0.075,-0.074333333,3.729,1.752,0.991,2.157333333
TJ5832SW,CA42,12/13/2011,12/20/2011,12/17/2011,2.45,2.45,2.45,2.45,0.206,0.394,0.437,0.345666667,1.752,0.853,-0.018,0.862333333
TJ6652SW,CA42,1/17/2012,1/24/2012,1/21/2012,0.9,0.9,0.9,0.9,-0.605,-0.314,-0.547,-0.488666667,0.184,-1.775,-0.769,-0.786666667
TJ7382SW,CA42,2/7/2012,2/14/2012,2/10/2012,0.22,0.22,0.22,0.22,0.947,0.896,1.577,1.14,-2.086,0.31,-0.933,-0.903
TJ7694SW,CA42,2/14/2012,2/21/2012,2/17/2012,0.22,0.22,0.22,0.22,0.896,0.459,0.674,0.676333333,0.31,1.528,0.822,0.886666667
TJ8113SW,CA42,2/21/2012,2/28/2012,2/24/2012,0.22,0.22,0.22,0.22,0.459,-0.646,0.01,-0.059,1.528,1.91,1.651,1.696333333
TJ8865SW,CA42,3/13/2012,3/20/2012,3/16/2012,0.2,0.2,0.2,0.2,0.357,0.75,0.728,0.611666667,0.076,2.085,2.229,1.463333333
TJ9261SW,CA42,3/20/2012,3/27/2012,3/23/2012,0.2,0.2,0.2,0.2,0.75,0.713,0.137,0.533333333,2.085,-0.323,-1.528,0.078
TJ9259SW,CA42,3/27/2012,4/3/2012,3/30/2012,0.2,-0.65,0.2,-0.083333333,0.713,0.774,0.96,0.815666667,-0.323,-0.207,-0.234,-0.254666667
TJ98305SW,CA42,4/10/2012,4/17/2012,4/13/2012,-0.65,-0.65,-0.65,-0.65,0.58,-0.368,0.149,0.120333333,0.015,1.055,-0.572,0.166
TK0277SW,CA42,4/24/2012,5/1/2012,4/27/2012,-0.65,-0.38,-0.65,-0.56,0.165,-1.548,-0.337,-0.573333333,-1.325,0.741,-0.679,-0.421
TK0422SW,CA42,5/1/2012,5/8/2012,5/4/2012,-0.38,-0.38,-0.38,-0.38,-1.548,0.165,-0.898,-0.760333333,0.741,-0.01,-0.456,0.091666667
TK6624SW,ca42,10/10/2012,10/16/2012,10/13/2012,0.17,0.17,0.17,0.17,-1.007,0.285,0.85,0.042666667,-1.188,-1.281,-1.822,-1.430333333
TK7410SW,CA42,11/6/2012,11/13/2012,11/10/2012,0.33,0.33,0.33,0.33,-0.418,-0.753,-0.444,-0.538333333,2.068,1.35,0.087,1.168333333
TK7844SW,CA42,11/13/2012,11/20/2012,11/17/2012,0.33,0.33,0.33,0.33,-0.753,-0.385,-0.645,-0.594333333,1.35,-0.241,0.507,0.538666667
TK8824SW,CA42,12/11/2012,12/18/2012,12/14/2012,-0.77,-0.77,-0.77,-0.77,-0.88,-1.069,-0.614,-0.854333333,-2.3,-1.716,-1.162,-1.726
TK8825SW,CA42,12/18/2012,12/26/2012,12/22/2012,-0.77,-0.77,-0.77,-0.77,-1.069,0.484,-0.565,-0.383333333,-1.716,-0.588,-2.547,-1.617
TK9370SW,CA42,12/26/2012,1/2/2013,12/29/2012,-0.77,-0.1,-0.77,-0.546666667,0.484,1.368,0.774,0.875333333,-0.588,-0.411,-0.981,-0.66
TK9573SW,CA42,1/2/2013,1/8/2013,1/5/2013,-0.1,-0.1,-0.1,-0.1,1.368,0.284,0.989,0.880333333,-0.411,0.657,-0.321,-0.025
TK9834SW,CA42,1/8/2013,1/15/2013,1/12/2013,-0.1,-0.1,-0.1,-0.1,0.284,0.019,-0.62,-0.105666667,0.657,-0.536,-1.867,-0.582
TL0314SW,CA42,1/23/2013,1/29/2013,1/26/2013,-0.1,-0.1,-0.1,-0.1,0.405,0.031,-0.22,0.072,-2.551,0.133,0.653,-0.588333333
TL1267SW,CA42,2/5/2013,2/12/2013,2/9/2013,-0.47,-0.47,-0.47,-0.47,0.512,0.353,0.403,0.422666667,-0.421,-1.087,-0.7,-0.736
TL1268SW,CA42,2/12/2013,2/26/2013,2/19/2013,-0.47,-0.47,-0.47,-0.47,0.353,0.932,0.06,0.448333333,-1.087,-2.445,-2.62,-2.050666667
TL1862SW,CA42,3/5/2013,3/12/2013,3/9/2013,1.06,1.06,1.06,1.06,0.291,-0.63,0.199,-0.046666667,-3.802,-1.634,-2.755,-2.730333333
TL4067SW,CA42,4/30/2013,5/7/2013,5/4/2013,0.01,0.9,0.9,0.603333333,-0.767,0.678,1.339,0.416666667,-0.544,1.197,1.385,0.679333333
TM0211SW,CA42,10/8/2013,10/15/2013,10/11/2013,-0.34,-0.34,-0.34,-0.34,-0.621,-0.427,-0.191,-0.413,0.247,-0.023,-0.975,-0.250333333
TM0775SW,CA42,10/22/2013,10/29/2013,10/25/2013,-0.34,-0.34,-0.34,-0.34,0.482,0.18,0.424,0.362,-0.161,2.274,0.93,1.014333333
TM1890SW,CA42,11/19/2013,11/26/2013,11/22/2013,0.75,0.75,0.75,0.75,-0.966,-0.113,-0.152,-0.410333333,1.101,1.602,-1.167,0.512
TM2372SW,CA42,12/3/2013,12/10/2013,12/7/2013,-0.05,-0.05,-0.05,-0.05,-0.285,-1.018,-1.071,-0.791333333,1.632,0.378,0.332,0.780666667
TM3107SW,CA42,12/17/2013,12/24/2013,12/21/2013,-0.05,-0.05,-0.05,-0.05,-0.636,-0.14,-0.325,-0.367,3.308,1.293,3.04,2.547
TM4451SW,CA42,1/28/2014,2/4/2014,2/1/2014,1.19,-0.32,-0.32,0.183333333,0.323,-1.06,-0.896,-0.544333333,-2.408,-0.148,0.331,-0.741666667
TM5400SW,CA42,2/25/2014,3/4/2014,2/28/2014,-0.32,-1.7,-0.32,-0.78,0.507,-0.209,-0.396,-0.032666667,-0.784,-0.028,-1.746,-0.852666667
TM6569SW,CA42,3/25/2014,4/1/2014,3/28/2014,-1.7,0.81,-1.7,-0.863333333,-0.408,-0.594,-0.769,-0.590333333,1.025,-0.707,-0.797,-0.159666667
TN1269SW,CA42,7/29/2014,8/5/2014,8/1/2014,-0.26,-1.42,-1.42,-1.033333333,0.409,1.536,0.443,0.796,-0.738,-0.847,-0.239,-0.608
TN5786SW,CA42,11/25/2014,12/2/2014,11/28/2014,-0.96,-0.66,-0.96,-0.86,-0.278,-0.772,-0.603,-0.551,1.012,0.266,-1.298,-0.006666667
TN6531SW,CA42,12/2/2014,12/9/2014,12/6/2014,-0.66,-0.66,-0.66,-0.66,-0.772,1.309,0.416,0.317666667,0.266,0.224,0.367,0.285666667
TN6519SW,CA42,12/9/2014,12/16/2014,12/13/2014,-0.66,-0.66,-0.66,-0.66,1.309,0.865,0.488,0.887333333,0.224,1.33,1.318,0.957333333
TN6835SW,CA42,12/16/2014,12/23/2014,12/20/2014,-0.66,-0.66,-0.66,-0.66,0.865,0.435,0.778,0.692666667,1.33,0.565,1.047,0.980666667
TN7401SW,CA42,1/7/2015,1/13/2015,1/10/2015,-0.87,-0.87,-0.87,-0.87,0.534,0.724,0.512,0.59,2.233,1.375,2.506,2.038
TN7839SW,CA42,1/20/2015,1/27/2015,1/24/2015,-0.87,-0.87,-0.87,-0.87,0.549,-0.064,0.502,0.329,-1.035,2.188,0.57,0.574333333
TN9168SW,CA42,2/17/2015,2/24/2015,2/20/2015,-0.04,-0.04,-0.04,-0.04,1.32,-0.119,0.563,0.588,0.492,1.714,1.646,1.284
TN9169SW,CA42,2/24/2015,3/3/2015,2/27/2015,-0.04,-1.4,-0.04,-0.493333333,-0.119,-1.964,-0.722,-0.935,1.714,2.176,2.763,2.217666667
NU7813SW,CA45,1/2/2001,1/9/2001,1/5/2001,0.78,0.78,0.78,0.78,1.106,0.835,1.035,0.992,-2.636,-2.222,-2.517,-2.458333333
