pna,ao,soi,dxs,dD,unc,dO,unc.1,amount [mL],date
-0.353,-0.491,-0.85,11.81617925,-13.33963514,0.838492289,-3.144476798,0.317271829,433.4428571,6/15/03
0.056,-0.603,-16.13,11.76266729,-13.0975435,0.828794066,-3.107526349,0.31455336,428.9214286,6/16/03
0.631,-0.393,-23.62,11.70915533,-12.85545187,0.819095843,-3.0705759,0.311834892,424.4,6/17/03
0.95,0.151,-18.66,11.81978211,-12.86123947,0.820574793,-3.085127698,0.312378935,429.2804511,6/18/03
0.604,0.753,-3.68,11.9304089,-12.86702707,0.822053744,-3.099679496,0.312922979,434.1609023,6/19/03
-0.061,0.688,5.53,12.04103568,-12.87281467,0.823532694,-3.114231294,0.313467022,439.0413534,6/20/03
-0.702,0.564,-2.77,12.15166247,-12.87860227,0.825011644,-3.128783092,0.314011065,443.9218045,6/21/03
-1.063,0.359,-8.95,12.26228925,-12.88438987,0.826490595,-3.14333489,0.314555109,448.8022556,6/22/03
-0.852,0.048,-9.45,12.37291603,-12.89017747,0.827969545,-3.157886688,0.315099152,453.6827068,6/23/03
-0.528,0.25,-21.5,12.48354282,-12.89596507,0.829448495,-3.172438486,0.315643196,458.5631579,6/24/03
-0.339,0.39,-15.83,12.5941696,-12.90175267,0.830927446,-3.186990284,0.316187239,463.443609,6/25/03
-0.031,0.327,-19.47,12.70479639,-12.90754027,0.832406396,-3.201542082,0.316731282,468.3240602,6/26/03
0.087,-0.031,-32.53,12.81542317,-12.91332787,0.833885346,-3.21609388,0.317275326,473.2045113,6/27/03
0.462,-0.774,-30,12.92604995,-12.91911547,0.835364297,-3.230645678,0.317819369,478.0849624,6/28/03
0.59,-1.029,-11.28,13.03667674,-12.92490307,0.836843247,-3.245197476,0.318363412,482.9654135,6/29/03
0.726,-0.778,20.81,13.14730352,-12.93069067,0.838322197,-3.259749274,0.318907456,487.8458647,6/30/03
0.586,-0.489,23.65,13.25793031,-12.93647827,0.839801148,-3.274301072,0.319451499,492.7263158,7/1/03
-0.315,-0.58,8.74,13.36855709,-12.94226587,0.841280098,-3.28885287,0.319995543,497.6067669,7/2/03
-1.143,-0.718,-1.37,13.47918387,-12.94805347,0.842759049,-3.303404668,0.320539586,502.487218,7/3/03
-0.964,-0.731,0.83,13.58981066,-12.95384107,0.844237999,-3.317956466,0.321083629,507.3676692,7/4/03
-0.369,-0.597,10.12,13.70043744,-12.95962867,0.845716949,-3.332508264,0.321627673,512.2481203,7/5/03
-0.281,-0.462,11.18,13.81106423,-12.96541627,0.8471959,-3.347060062,0.322171716,517.1285714,7/6/03
-0.067,-0.346,6.54,13.92169101,-12.97120387,0.84867485,-3.36161186,0.322715759,522.0090226,7/7/03
0.255,-0.236,6.45,14.03231779,-12.97699147,0.8501538,-3.376163658,0.323259803,526.8894737,7/8/03
0.386,-0.028,7.02,14.14294458,-12.98277907,0.851632751,-3.390715456,0.323803846,531.7699248,7/9/03
0.412,0.121,4.34,14.25357136,-12.98856667,0.853111701,-3.405267254,0.324347889,536.6503759,7/10/03
0.485,0.3,-7.81,14.36419815,-12.99435427,0.854590651,-3.419819052,0.324891933,541.5308271,7/11/03
0.677,0.198,-2.92,14.47482493,-13.00014187,0.856069602,-3.43437085,0.325435976,546.4112782,7/12/03
0.824,-0.082,-2.75,14.58545171,-13.00592947,0.857548552,-3.448922648,0.32598002,551.2917293,7/13/03
0.699,-0.049,-15.79,14.6960785,-13.01171707,0.859027502,-3.463474446,0.326524063,556.1721805,7/14/03
0.366,-0.283,-13.27,14.80670528,-13.01750467,0.860506453,-3.478026244,0.327068106,561.0526316,7/15/03
-0.145,-0.591,-0.55,14.91733207,-13.02329227,0.861985403,-3.492578042,0.32761215,565.9330827,7/16/03
-0.048,-0.822,5.96,15.02795885,-13.02907987,0.863464353,-3.50712984,0.328156193,570.8135338,7/17/03
0.293,-0.954,9.96,15.13858563,-13.03486747,0.864943304,-3.521681638,0.328700236,575.693985,7/18/03
0.92,-0.657,16.4,15.24921242,-13.04065507,0.866422254,-3.536233436,0.32924428,580.5744361,7/19/03
0.952,0.055,18.35,15.3598392,-13.04644267,0.867901204,-3.550785234,0.329788323,585.4548872,7/20/03
0.884,0.562,6.94,15.47046599,-13.05223027,0.869380155,-3.565337032,0.330332367,590.3353383,7/21/03
