SampleName,site,In,Out,middate,dxs,dD,unc,dO,unc,amount [mL],SOI in (monthly),SOI out (monthly),SOI middate (monthly),SOI average (monthly),PNA in (daily),PNA out (daily),PNA middate (daily),PNA average (daily),AO in (daily),AO out (daily),AO middate (daily),AO average (daily)
TH1881SW,CA66,40232,40239,40235.5,10.03949164,-44.14238148,4.48235,-6.77273414,3.083348,4179.4,-1.59,-1.4,-1.59,-1.526666667,-0.057,0.808,-0.221,0.176666667,-4.591,-1.999,-3.23,-3.273333333
TH2123SW,CA66,40239,40246,40242.5,17.57044168,-38.67174904,4.48235,-7.03027384,3.083348,1176.8,-1.4,-1.4,-1.4,-1.4,0.808,0.963,0.599,0.79,-1.999,0.719,-0.512,-0.597333333
TH2377SW,CA66,40246,40253,40249.5,11.92979113,-24.38210033,0.849174305,-4.538986433,0.299122049,395.1,-1.4,-1.4,-1.4,-1.4,0.963,1.181,1.39,1.178,0.719,0.162,-0.081,0.266666667
TH2848SW,CA66,40260,40267,40263.5,12.09830267,-31.28574253,1.184143995,-5.42300565,0.409771888,27.4,-1.4,-1.4,-1.4,-1.4,-0.027,0.918,0.274,0.388333333,-0.202,-1.432,-1.9,-1.178
TH3107SW,CA66,40267,40274,40270.5,16.47593893,-38.39484453,1.034924635,-6.858847933,0.26221556,1757.4,-1.4,1.88,1.88,0.786666667,0.918,0.22,0.838,0.658666667,-1.432,0.04,-0.674,-0.688666667
TH3393SW,CA66,40274,40281,40277.5,16.2714094,-45.5152002,0.982165465,-7.7233262,0.453326593,1331.9,1.88,1.88,1.88,1.88,0.22,0.794,0.233,0.415666667,0.04,0.781,-1.032,-0.070333333
TH3659SW,CA66,40281,40288,40284.5,8.691474433,-65.1858057,1.069703697,-9.234660017,0.494060725,517.6,1.88,1.88,1.88,1.88,0.794,1.782,0.96,1.178666667,0.781,-0.868,0.544,0.152333333
TH3914SW,CA66,40288,40295,40291.5,13.4354867,-35.0632769,1.248399776,-6.06234545,0.301526118,517.6,1.88,1.88,1.88,1.88,1.782,1.689,1.224,1.565,-0.868,0.484,-1.213,-0.532333333
TH4137SW,CA66,40295,40302,40298.5,1.791258533,-10.55841773,1.175411843,-1.543709533,0.336645214,196.9,1.88,0.85,1.88,1.536666667,1.689,-1.648,0.447,0.162666667,0.484,-0.602,0.818,0.233333333
TH4385SW,CA66,40302,40309,40305.5,8.553271733,-28.75270293,1.155773767,-4.663246833,0.372264691,236.2,0.85,0.85,0.85,0.85,-1.648,-0.368,-1.184,-1.066666667,-0.602,-0.788,-1.861,-1.083666667
TH5217SW,CA66,40323.61458,40330.55208,40327.08333,-4.192916333,-12.157403,0.639863267,-0.995560833,0.395727179,72.9,0.85,0.24,0.85,0.646666667,-1.009,0.464,0.569,0.008,-1.062,-0.279,-1.009,-0.783333333
TH9963SW,CA66,40456,40463,40459.5,7.755286467,-50.9555442,1.355295171,-7.338853833,0.428740014,422.3,1.8,1.8,1.8,1.8,1.692,0.368,1.367,1.142333333,1.732,-0.733,-1.639,-0.213333333
TI0226SW,CA66,40463,40470,40466.5,7.330614867,-28.32924353,0.937749433,-4.4574823,0.36015691,201.7,1.8,1.8,1.8,1.8,0.368,0.755,0.313,0.478666667,-0.733,-1.132,-0.022,-0.629
TI0488SW,CA66,40470,40477,40473.5,8.391732133,-14.95699373,0.802733455,-2.918590733,0.301698525,596.7,1.8,1.8,1.8,1.8,0.755,-0.11,1.101,0.582,-1.132,-0.088,-2.17,-1.13
TI0720SW,CA66,40477,40484,40480.5,-0.583749867,-46.23254107,1.237133784,-5.7060989,0.468780332,129.3,1.8,1.62,1.8,1.74,-0.11,1.227,0.474,0.530333333,-0.088,2.381,0.826,1.039666667
TI0978SW,CA66,40484,40491,40487.5,13.29049893,-31.2092176,0.79598304,-5.562464567,0.343169055,782,1.62,1.62,1.62,1.62,1.227,0.572,1.408,1.069,2.381,-0.768,1.532,1.048333333
TI1723SW,CA66,40498,40505,40501.5,20.77805893,-53.68311147,0.995218067,-9.3076463,0.395885084,1952.3,1.62,1.62,1.62,1.62,-1.239,-1.875,-1.813,-1.642333333,1.719,-2.408,-1.688,-0.792333333
TI1702SW,CA66,40505,40512,40508.5,#N/A,#N/A,,#N/A,,357.2,1.62,1.62,1.62,1.62,-1.875,-0.565,-1.021,-1.153666667,-2.408,-1.377,-4.058,-2.614333333
TI1983SW,CA66,40512,40519,40515.5,14.24423553,-60.35589273,1.587673455,-9.325016033,0.903540259,1121.9,1.62,2.9,2.9,2.473333333,-0.565,-0.61,-0.947,-0.707333333,-1.377,-2.306,-0.464,-1.382333333
TI2693SW,CA66,40526,40533,40529.5,9.417594867,-74.27892913,0.99661477,-10.4620655,0.375518308,3354.1,2.9,2.9,2.9,2.9,-1.097,-2.131,-1.276,-1.501333333,-2.148,-4.23,-4.549,-3.642333333
TI2688SW,CA66,40533,40540,40536.5,11.20924213,-129.9623933,0.918090954,-17.64645443,0.342911067,1530.4,2.9,2.9,2.9,2.9,-2.131,-0.1,-1.004,-1.078333333,-4.23,-2.776,-3.862,-3.622666667
TI3929SW,CA66,40568,40575,40571.5,11.25009627,-38.698372,1.143365646,-6.243558533,0.240135378,539.3,2.01,2.12,2.01,2.046666667,1.098,0.908,1.12,1.042,-0.272,2.097,0.458,0.761
TI4418SW,CA66,40582.41667,40589.67708,40586.04688,14.8646348,-31.2651644,1.100273148,-5.7662249,0.463883606,23.8,2.12,2.12,2.12,2.12,-0.082,-1.404,-0.647,-0.711,0.989,-0.007,2.15,1.044
TI4933SW,CA66,40596,40603,40599.5,18.50179553,-38.41059967,1.414994346,-7.1140494,0.302519421,638.2,2.12,2.09,2.12,2.11,-1.332,-0.712,-1.323,-1.122333333,0.759,0.456,3.666,1.627
TI5183SW,CA66,40603,40610,40606.5,4.472400067,-22.80723007,1.164117262,-3.409953767,0.306151923,131.7,2.09,2.09,2.09,2.09,-0.712,0.396,0.175,-0.047,0.456,1.741,0.524,0.907
TI5437SW,CA66,40610.5625,40617.47917,40614.02083,10.69212393,-32.0358798,1.056053502,-5.341000467,0.324630559,33.9,2.09,2.09,2.09,2.09,0.396,1.155,0.575,0.708666667,1.741,1.799,-0.181,1.119666667
TI5860SW,CA66,40617,40624,40620.5,14.78615567,-105.4509427,1.66556597,-15.0296373,0.354272494,4576.7,2.09,2.09,2.09,2.09,1.155,0.434,0.281,0.623333333,1.799,1.986,0.856,1.547
TI5935SW,CA66,40624,40631,40627.5,17.12569427,-31.82334627,1.669650862,-6.118630067,0.611726246,2748.3,2.09,2.09,2.09,2.09,0.434,0.941,0.209,0.528,1.986,1.456,1.619,1.687
TI6432SW,CA66,40638,40645,40641.5,6.246529,-34.43451847,0.824766634,-5.085130933,0.284255167,167.1,3.02,3.02,3.02,3.02,-0.541,-0.952,-0.262,-0.585,4.106,3.438,2.982,3.508666667
TI6922SW,CA66,40652.41667,40659.375,40655.89583,5.329896467,-31.09957473,0.925334534,-4.5536839,0.219292043,93,3.02,3.02,3.02,3.02,-1.156,-0.324,-0.667,-0.715666667,1.843,1.357,0.694,1.298
TI7402SW,CA66,40666.38542,40673.375,40669.88021,-1.980596333,-38.1321518,1.232104298,-4.518944433,0.248362638,94.3,0.46,0.46,0.46,0.46,-0.728,-0.644,-0.627,-0.666333333,-1.107,-0.565,-0.259,-0.643666667
TI7656SW,CA66,40673,40680,40676.5,30.34642387,-29.68450653,4.48235,-7.5038663,3.083348,635.4,0.46,0.46,0.46,0.46,-0.644,1.356,0.88,0.530666667,-0.565,0.486,-0.722,-0.267
TI7876SW,CA66,40680,40687,40683.5,6.998745333,-29.5964064,1.0418354,-4.574393967,0.280645684,264.7,0.46,0.46,0.46,0.46,1.356,1.181,1.745,1.427333333,0.486,0.264,-0.052,0.232666667
TI8428SW,CA66,40694,40701,40697.5,9.485394467,-31.5323586,0.971622869,-5.127219133,0.317305846,529.2,0.46,-0.04,-0.04,0.126666667,-0.314,0.393,0.441,0.173333333,1.02,-1.148,0.207,0.026333333
TI9373SW,CA66,40722,40729,40725.5,2.4881276,-46.25247613,1.369939415,-6.092575467,0.338693076,139.5,-0.04,1.11,1.11,0.726666667,-0.834,-0.011,-0.42,-0.421666667,-0.395,-1.844,-0.829,-1.022666667
TJ3979SW,CA66,40848,40855,40851.5,16.97733633,-39.2028578,1.465379814,-7.022524267,0.338354843,1182.6,1.41,1.41,1.41,1.41,-0.83,-0.211,-0.573,-0.538,1.42,1.302,0.458,1.06
TJ4386SW,CA66,40855.38542,40862.40625,40858.89583,12.83509567,-57.84214513,1.341586374,-8.8346551,0.309441432,437.3,1.41,1.41,1.41,1.41,-0.211,-1.167,-0.453,-0.610333333,1.302,0.981,-1.016,0.422333333
TJ4384SW,CA66,40862.40625,40869.39583,40865.90104,19.54664973,-55.569226,1.108130407,-9.389484467,0.34857137,636.9,1.41,1.41,1.41,1.41,-1.167,-0.081,-1.167,-0.805,0.981,1.729,0.95,1.22
TJ5219SW,CA66,40883.42708,40890.41667,40886.92188,16.43440593,-33.5888858,1.270721842,-6.252911467,0.407668983,275.1,2.45,2.45,2.45,2.45,-0.354,0.206,-0.075,-0.074333333,3.729,1.752,0.991,2.157333333
TJ6727SW,CA66,40925.40625,40932.38542,40928.89583,12.5446048,-37.31835093,0.990682088,-6.232869467,0.343607334,2443.8,0.9,0.9,0.9,0.9,-0.605,-0.314,-0.339,-0.419333333,0.184,-1.775,0.261,-0.443333333
TJ7518SW,CA66,40946,40953,40949.5,12.50787407,-57.05503153,1.187431682,-8.6953632,0.322183178,1157.4,0.22,0.22,0.22,0.22,0.947,0.896,1.577,1.14,-2.086,0.31,-0.933,-0.903
TJ7800SW,CA66,40953,40960,40956.5,10.08250607,-35.39526007,0.745818342,-5.684720767,0.263979166,174.6,0.22,0.22,0.22,0.22,0.896,0.459,0.674,0.676333333,0.31,1.528,0.822,0.886666667
TJ8281SW,CA66,40967,40974,40970.5,18.27447167,-15.77400993,1.069505493,-4.2560602,0.408795793,314.9,0.22,0.2,0.2,0.206666667,-0.646,-1.194,-0.667,-0.835666667,1.91,3.045,1.146,2.033666667
TJ8929SW,CA66,40981,40988,40984.5,11.5296316,-66.42419133,0.995244694,-9.744227867,0.26479426,3819.3,0.2,0.2,0.2,0.2,0.357,0.75,0.728,0.611666667,0.076,2.085,2.229,1.463333333
TJ9061SW,CA66,40988,40995,40991.5,18.04446933,-44.6132992,0.963097088,-7.832221067,0.414491254,976,0.2,0.2,0.2,0.2,0.75,0.713,0.137,0.533333333,2.085,-0.323,-1.528,0.078
TJ9313SW,CA66,40995,41002,40998.5,14.82588787,-34.11780813,0.846123513,-6.117962,0.339872035,965.3,0.2,-0.65,0.2,-0.083333333,0.713,0.774,0.96,0.815666667,-0.323,-0.207,-0.234,-0.254666667
TK0057SW,CA66,41009,41016,41012.5,13.46754427,-60.16522347,2.063484916,-9.204095967,0.249821937,3539.5,-0.65,-0.65,-0.65,-0.65,0.58,-0.368,0.149,0.120333333,0.015,1.055,-0.572,0.166
TK0354SW,CA66,41023,41030,41026.5,4.513829733,-60.69060893,1.015130533,-8.150554833,0.275633815,360.4,-0.65,-0.38,-0.65,-0.56,0.165,-1.548,-0.337,-0.573333333,-1.325,0.741,-0.679,-0.421
TK8809SW,CA66,41247.42708,41254.41667,41250.92188,12.99261727,-28.48743793,1.048465545,-5.1850069,0.241331722,242.2,-0.77,-0.77,-0.77,-0.77,-1.025,-0.88,-0.807,-0.904,-1.188,-2.3,-2.751,-2.079666667
TK8989SW,CA66,41261.41667,41267.61458,41264.51563,23.2399894,-36.59586553,0.94632394,-7.479481867,0.299137092,1943.5,-0.77,-0.77,-0.77,-0.77,-1.069,-0.073,-0.846,-0.662666667,-1.716,-1.724,-3.371,-2.270333333
TK9480SW,CA66,41274.41667,41282.40625,41278.41146,19.50880393,-44.87792113,0.989164294,-8.048340633,0.286393087,667.7,-0.77,-0.1,-0.1,-0.323333333,0.489,0.284,1.227,0.666666667,-0.635,0.657,0.012,0.011333333
TL1330SW,CA66,41324.4375,41331.42708,41327.93229,15.44176767,-52.20245047,1.186727854,-8.455527267,0.248618181,439.8,-0.47,-0.47,-0.47,-0.47,0.06,0.932,0.18,0.390666667,-2.62,-2.445,-2.046,-2.370333333
TL1863SW,CA66,41338.41667,41345.36458,41341.89063,13.61602647,-101.180337,1.00876013,-14.34954543,0.288944631,299.8,1.06,1.06,1.06,1.06,0.291,-0.63,0.556,0.072333333,-3.802,-1.634,-3.3,-2.912
TL2649SW,CA66,41359.38542,41366.36458,41362.875,9.660910467,-49.96650767,1.208962365,-7.453427267,0.204159252,591.4,1.06,0.01,1.06,0.71,0.395,-0.246,0.027,0.058666667,-4.021,-2.445,-1.821,-2.762333333
TM0640SW,CA66,41569.36458,41576.375,41572.86979,11.16426927,-29.9176182,1.02460041,-5.135235933,0.19736261,178.2,-0.34,-0.34,-0.34,-0.34,0.482,0.18,0.424,0.362,-0.161,2.274,0.93,1.014333333
TM1807SW,CA66,41597.40625,41604.39583,41600.90104,13.97978867,-62.66996813,0.948098096,-9.5812196,0.201784539,351.9,0.75,0.75,0.75,0.75,-0.966,-0.113,-0.152,-0.410333333,1.101,1.602,-1.167,0.512
TM2208SW,CA66,41611.41667,41618.40625,41614.91146,24.71286893,-42.76834093,1.039479197,-8.435151233,0.163911562,314.9,-0.05,-0.05,-0.05,-0.05,-0.285,-1.018,-0.902,-0.735,1.632,0.378,-0.137,0.624333333
TM4319SW,CA66,41667.38542,41674.39583,41670.89063,21.56729173,-49.03245333,1.095463829,-8.824968133,0.17343875,570.4,1.19,-0.32,1.19,0.686666667,0.323,-1.06,-0.617,-0.451333333,-2.408,-0.148,0.341,-0.738333333
TM4582SW,CA66,41674.39583,41681.42708,41677.91146,18.6187352,-43.43777333,0.894658594,-7.757063567,0.181433183,887.7,-0.32,-0.32,-0.32,-0.32,-1.06,-0.786,-0.724,-0.856666667,-0.148,1.283,0.542,0.559
TM5354SW,CA66,41695.39583,41702.40625,41698.90104,22.08941097,-47.53497517,0.953689677,-8.703048267,0.226313941,5418.1,-0.32,-1.7,-0.32,-0.78,0.507,-0.209,-0.396,-0.032666667,-0.784,-0.028,-1.746,-0.852666667
TM6363SW,CA66,41723.32639,41730.39931,41726.86285,19.41441523,-50.73164983,1.113820003,-8.768258133,0.312086526,1598,-1.7,0.81,-1.7,-0.863333333,-0.408,-0.594,-0.769,-0.590333333,1.025,-0.707,-0.797,-0.159666667
TM6833SW,CA66,41730.39931,41737.36458,41733.88194,25.9139186,-49.93027873,0.998882375,-9.480524667,0.276893481,563.5,0.81,0.81,0.81,0.81,-0.594,0.416,-0.091,-0.089666667,-0.707,1.241,0.771,0.435
TM7600SW,CA66,41751.35417,41758.39583,41754.875,15.99969983,-55.15476523,0.938324038,-8.894308133,0.259493738,739.2,0.81,0.81,0.81,0.81,0.788,1.071,0.543,0.800666667,0.264,-1.369,-1.208,-0.771
TN4720SW,CA66,41940.39583,41947.63542,41944.01563,19.8320966,-58.5850354,1.333160155,-9.8021415,0.261652441,2113.2,-0.86,-0.96,-0.96,-0.926666667,0.027,0.106,0.486,0.206333333,0.202,1.015,0.439,0.552
TN5711SW,CA66,41968.44792,41975.4375,41971.94271,10.0321212,-75.7493268,0.595667693,-10.722681,0.224773219,1930.2,-0.96,-0.66,-0.96,-0.86,-0.278,-0.772,-0.603,-0.551,1.012,0.266,-1.298,-0.006666667
TN6012SW,CA66,41975.4375,41982.47917,41978.95833,11.15225627,-27.2742144,1.890348116,-4.803308833,0.28995172,1307.3,-0.66,-0.66,-0.66,-0.66,-0.772,1.309,0.156,0.231,0.266,0.224,-0.683,-0.064333333
TN6364SW,CA66,41982.47917,41989.4375,41985.95833,10.43077463,-58.5457467,1.076363322,-8.622065167,0.206344372,4400.2,-0.66,-0.66,-0.66,-0.66,1.309,0.865,0.375,0.849666667,0.224,1.33,0.486,0.68
TN6635SW,CA66,41989.4375,41996.47917,41992.95833,11.65491073,-61.5514946,1.079456345,-9.150800667,0.279327764,979.6,-0.66,-0.66,-0.66,-0.66,0.865,0.435,0.911,0.737,1.33,0.565,0.685,0.86
TN8347SW,CA66,42038,42045,42041.5,12.06892223,-11.0265511,0.942047239,-2.886934167,0.28096619,1620.2,-0.04,-0.04,-0.04,-0.04,0.171,0.577,0.304,0.350666667,-0.796,1.441,-0.762,-0.039
TN9318SW,CA66,42059,42066,42062.5,4.845647033,-56.6066383,1.08381825,-7.681535667,0.275307101,478.9,-0.04,-1.4,-0.04,-0.493333333,-0.119,-1.964,-0.722,-0.935,1.714,2.176,2.763,2.217666667
NU7900SW,CA67,36900,36907,36903.5,13.9511003,-77.4343597,1.194303353,-11.4231825,0.268700577,4672.2,0.78,0.78,0.78,0.78,0.835,1.062,0.91,0.935666667,-2.222,0.299,-1.298,-1.073666667
NU8357SW,CA67,36914,36921,36917.5,13.0945954,-141.2832686,0.980757106,-19.297233,0.173241161,225.6,0.78,0.78,0.78,0.78,0.824,0.073,-0.098,0.266333333,0.743,-1.896,0.814,-0.113
NU8841SW,CA67,36930,36935,36932.5,15.5258668,-80.1876932,1.599475539,-11.964195,0.08131728,386.9,1,1,1,1,-0.795,0.269,-0.529,-0.351666667,-0.362,2.884,0.864,1.128666667
NU9074SW,CA67,36935,36942,36938.5,11.2839837,-97.4963163,0.375473701,-13.5975375,0.020506097,305.6,1,1,1,1,0.269,0.77,0.205,0.414666667,2.884,0.654,1.861,1.799666667
NU9379SW,CA67,36942,36949,36945.5,0.330218867,-146.9615583,1.506844551,-19.810422,0.14707821,1351.2,1,1,1,1,0.77,0.772,0.332,0.624666667,0.654,-3.988,-3.373,-2.235666667
NU9567SW,CA67,36949,36956,36952.5,9.3055459,-134.9816621,2.439518395,-18.035901,0.160513239,823.3,1,0.46,0.46,0.64,0.772,1.179,0.21,0.720333333,-3.988,-3.206,-3.244,-3.479333333
NU9786SW,CA67,36956,36963,36959.5,14.3910493,-84.7520147,0.579827561,-12.392883,0.019091883,1011.7,0.46,0.46,0.46,0.46,1.179,-0.166,0.653,0.555333333,-3.206,1.042,-0.102,-0.755333333
NV0777SW,CA67,36983,36991,36987,14.3635868,-53.4440332,1.35976634,-8.4759525,0.066468037,630.8,-0.18,-0.18,-0.18,-0.18,0.359,-0.402,-0.141,-0.061333333,0.624,0.133,2.192,0.983
NV1291SW,CA67,36998,37005,37001.5,10.5950141,-69.4302139,0.400222438,-10.0031535,0.072831998,412.1,-0.18,-0.18,-0.18,-0.18,-0.205,-0.119,-0.763,-0.362333333,-0.403,0.874,0.427,0.299333333
NV8891SW,CA67,37215,37222,37218.5,7.9973552,-62.2504888,1.074095201,-8.7809805,0.057275649,501.7,0.64,0.64,0.64,0.64,1.569,-0.193,0.549,0.641666667,0.227,-0.691,0.27,-0.064666667
NV9468SW,CA67,37236,37243,37239.5,15.045991,-48.202697,2.331331058,-7.906086,0.133643182,781.1,-1.06,-1.06,-1.06,-1.06,-0.027,0.288,-0.317,-0.018666667,-0.786,-1.766,-0.851,-1.134333333
NV9754SW,CA67,37243,37251,37247,15.798075,-90.739857,0.524673232,-13.3172415,0.096873629,304.6,-1.06,-1.06,-1.06,-1.06,0.288,1.287,0.589,0.721333333,-1.766,-1.644,-0.097,-1.169
NW4183SW,CA67,37369,37376,37372.5,8.531103,-59.152857,0.28567114,-8.460495,0.026162951,310.5,-0.48,-0.48,-0.48,-0.48,-1.701,-1.605,-1.614,-1.64,3.253,0.401,2.813,2.155666667
NW9108SW,CA67,37502,37509,37505.5,-8.3948348,-71.1159068,0.087681241,-7.840134,0.020506097,201.2,-0.66,-0.66,-0.66,-0.66,-0.022,0.04,-0.1,-0.027333333,0.797,-0.942,0.562,0.139
NX2183SW,CA67,37586,37593,37589.5,13.6937831,-52.9102129,1.366837408,-8.3254995,0.004242641,376.5,-0.6,-1.3,-0.6,-0.833333333,1.04,0.944,0.789,0.924333333,-2.261,-1.021,-2.025,-1.769
NX2562SW,CA67,37600,37607,37603.5,9.7396554,-59.1149526,0.236173665,-8.606826,0.053033009,561.8,-1.3,-1.3,-1.3,-1.3,1.247,0.629,1.92,1.265333333,-0.372,-1.062,-1.433,-0.955666667
NX2852SW,CA67,37607,37614,37610.5,17.7255056,-87.0399664,0.914289068,-13.095684,0.003535534,157.2,-1.3,-1.3,-1.3,-1.3,0.629,0.737,0.296,0.554,-1.062,-0.734,-1.99,-1.262
NX4805SW,CA67,37656,37663,37659.5,8.166095,-87.159997,0.572756493,-11.9157615,0.041012193,340.6,-0.9,-0.9,-0.9,-0.9,0.475,0.284,0.727,0.495333333,-0.576,0.643,1.145,0.404
NX5045SW,CA67,37663,37670,37666.5,5.608954,-119.684078,1.796758331,-15.661629,0.14707821,1374.4,-0.9,-0.9,-0.9,-0.9,0.284,0.698,0.518,0.5,0.643,-0.04,-0.392,0.070333333
NX5279SW,CA67,37670,37677,37673.5,13.3135073,-85.9944367,0.312541197,-12.413493,0.154856385,592,-0.9,-0.9,-0.9,-0.9,0.698,0.603,0.708,0.669666667,-0.04,-0.281,-0.351,-0.224
NX5555SW,CA67,37677,37684,37680.5,11.2337989,-95.5926731,0.115258405,-13.353309,0.016970563,1114.1,-0.9,-0.91,-0.9,-0.903333333,0.603,-1.883,0.477,-0.267666667,-0.281,-0.516,-0.328,-0.375
NX6095SW,CA67,37691,37698,37694.5,8.6068204,-79.9097276,0.989949494,-11.0645685,0.015556349,2831.4,-0.91,-0.91,-0.91,-0.91,-0.332,1.56,1.117,0.781666667,1.172,-0.192,-0.278,0.234
NX7147SW,CA67,37719,37726,37722.5,11.9821588,-59.5929692,0.021213203,-8.946891,0.065760931,859.4,-0.48,-0.48,-0.48,-0.48,0.2,-0.222,0.677,0.218333333,1.115,0.693,-1.085,0.241
NY1067SW,CA67,37824,37831,37827.5,0.852658,-10.772102,1.146927199,-1.453095,0.079195959,867,0.26,0.26,0.26,0.26,0.764,-1.16,0.457,0.020333333,1.212,0.204,1.128,0.848
NY2024SW,CA67,37852,37859,37855.5,8.2492712,-31.4215768,1.856862407,-4.958856,0.149199531,4377.4,-0.35,-0.35,-0.35,-0.35,0.699,-0.709,0.069,0.019666667,1.059,-0.999,0.401,0.153666667
NY2594SW,CA67,37866,37873,37869.5,8.6970621,-50.1410859,1.366130301,-7.3547685,0.137178716,2957.3,-0.18,-0.18,-0.18,-0.18,0.613,0.05,0.343,0.335333333,1.574,-0.082,1.641,1.044333333
NY5347SW,CA67,37936,37943,37939.5,16.5345571,-95.8895909,0.131521861,-14.0530185,0.036769553,2454.9,-0.32,-0.32,-0.32,-0.32,-0.582,-0.851,0.368,-0.355,1.015,1.479,0.109,0.867666667
NY6829SW,CA67,37978,37985,37981.5,10.0755639,-53.2555641,0.1668772,-7.916391,0.0417193,1145.3,0.92,0.92,0.92,0.92,0.762,-0.358,-0.409,-0.001666667,0.611,0.006,0.415,0.344
NY8240SW,CA67,38013,38020,38016.5,10.8382966,-98.3439498,4.48235,-13.6477808,3.083348,332.3,-1.31,0.77,-1.31,-0.616666667,0.127,0.031,0.402,0.186666667,-3.012,-0.577,-2.557,-2.048666667
NY9073SW,CA67,38034,38041,38037.5,10.7291962,-111.8582982,4.48235,-15.3234368,3.083348,3477,0.77,0.77,0.77,0.77,1.277,0.334,1.12,0.910333333,-1.466,-2.818,-2.137,-2.140333333
NY9340SW,CA67,38041,38048,38044.5,10.8710278,-69.544281,4.48235,-10.0519136,3.083348,1045.4,0.77,-0.11,0.77,0.476666667,0.334,-0.341,-0.085,-0.030666667,-2.818,-0.908,-3.13,-2.285333333
NY9633SW,CA67,38048,38055,38051.5,16.2033038,-104.1942642,4.48235,-15.049696,3.083348,1019.9,-0.11,-0.11,-0.11,-0.11,-0.341,1.213,-0.275,0.199,-0.908,0.148,0.168,-0.197333333
NZ8519SW,CA67,38279,38286,38282.5,11.777678,-49.966898,4.48235,-7.718072,3.083348,2908,-0.42,-0.42,-0.42,-0.42,-1.576,-0.789,-1.132,-1.165666667,-2.04,-1.123,-0.289,-1.150666667
NZ8719SW,CA67,38286,38293,38289.5,16.9716762,-92.9190758,4.48235,-13.736344,3.083348,2345,-0.42,-1.06,-0.42,-0.633333333,-0.789,0.29,-0.117,-0.205333333,-1.123,1.097,0.527,0.167
NZ9417SW,CA67,38307,38314,38310.5,17.1545514,-87.3741014,4.48235,-13.0660816,3.083348,1413.1,-1.06,-1.06,-1.06,-1.06,0.423,0.275,0.461,0.386333333,1.66,-0.625,0.09,0.375
TA0112SW,CA67,38321,38328,38324.5,24.4488916,-51.167902,4.48235,-9.4520992,3.083348,137.1,-1.06,-0.94,-0.94,-0.98,-0.38,0.11,0.025,-0.081666667,0.451,0.722,1.464,0.879
TA0746SW,CA67,38342,38349,38345.5,21.8,-38.2,4.48235,-7.5,3.083348,1195.9,-0.94,-0.94,-0.94,-0.94,-0.181,-1.055,-0.497,-0.577666667,0.84,2.69,1.452,1.660666667
TA1074SW,CA67,38349,38356,38352.5,20.96353907,-61.25522147,1.29699229,-10.27734507,0.339989706,8482.1,-0.94,0.2,-0.94,-0.56,-1.055,-0.76,-0.628,-0.814333333,2.69,4.45,3.133,3.424333333
TA1074SW,CA67,38349.5125,38356.49653,38353.00451,20.96353907,-61.25522147,1.29699229,-10.27734507,0.339989706,8482.1,-0.94,0.2,0.2,-0.18,-1.055,-0.76,-0.852,-0.889,2.69,4.45,3.09,3.41
TA1299SW,CA67,38356,38363,38359.5,12.84549807,-80.17456433,0.92857956,-11.6275078,0.286987805,6188.9,0.2,0.2,0.2,0.2,-0.76,-0.615,-1.447,-0.940666667,4.45,1.723,3.648,3.273666667
TA1299SW,CA67,38356.49792,38363.68056,38360.08924,12.84549807,-80.17456433,0.92857956,-11.6275078,0.286987805,6188.9,0.2,0.2,0.2,0.2,-0.76,-0.615,-1.531,-0.968666667,4.45,1.723,3.482,3.218333333
TA2307SW,CA67,38377,38384,38380.5,13.127341,-38.20803367,0.936062498,-6.416921833,0.367234258,316.2,0.2,-2.99,0.2,-0.863333333,1.098,0.16,0.46,0.572666667,-3.819,-1.209,-2.185,-2.404333333
TA2307SW,CA67,38377.48264,38384.71875,38381.10069,13.127341,-38.20803367,0.936062498,-6.416921833,0.367234258,316.2,0.2,-2.99,0.2,-0.863333333,1.098,0.16,0.247,0.501666667,-3.819,-1.209,-1.939,-2.322333333
TA2770SW,CA67,38391,38398,38394.5,12.98273793,-153.0783893,1.033988878,-20.7576409,0.340548088,2383.8,-2.99,-2.99,-2.99,-2.99,-0.01,0.665,0.411,0.355333333,1.047,-1.463,1.306,0.296666667
TA2770SW,CA67,38391.64583,38398.875,38395.26042,12.98273793,-153.0783893,1.033988878,-20.7576409,0.340548088,2383.8,-2.99,-2.99,-2.99,-2.99,-0.01,0.665,0.491,0.382,1.047,-1.463,-0.11,-0.175333333
TA3100SW,CA67,38398,38405,38401.5,12.91359329,-71.22867898,0.917076333,-10.51778403,0.216614866,7169.2,-2.99,-2.99,-2.99,-2.99,0.665,0.199,0.361,0.408333333,-1.463,-2.517,-1.062,-1.680666667
TA3100SW,CA67,38398.875,38405.75,38402.3125,12.91359329,-71.22867898,0.917076333,-10.51778403,0.216614866,7169.2,-2.99,-2.99,-2.99,-2.99,0.665,0.199,0.296,0.386666667,-1.463,-2.517,-1.126,-1.702
TA3466SW,CA67,38405,38412,38408.5,15.01120593,-100.0871237,1.451897379,-14.3872912,0.262194584,789.4,-2.99,-0.26,-2.99,-2.08,0.199,0.863,0.227,0.429666667,-2.517,-2.726,-3.882,-3.041666667
TA3466SW,CA67,38405.75,38412.70139,38409.22569,15.01120593,-100.0871237,1.451897379,-14.3872912,0.262194584,789.4,-2.99,-0.26,-2.99,-2.08,0.199,0.863,0.512,0.524666667,-2.517,-2.726,-4.337,-3.193333333
