date,pna,ao,soi,dxs,unc,unc.1,amount [mL],dO,dD
2009-08-06,1.078,-0.665,-13.62,11.07255229,0.795563496,977.3260713999999,0.275913639,-41.17936907,-6.53149017
2009-08-07,1.557,-0.555,-18.56,11.05542506,0.7954324979999999,976.0016071,0.276169783,-41.15612472,-6.526443722000001
2009-08-08,1.719,-0.263,-6.87,11.03829782,0.7953015,974.6771428999999,0.276425927,-41.13288036,-6.521397273
2009-08-09,1.9369999999999998,-0.053,3.4,11.02117059,0.7951705020000001,973.3526786,0.27668207,-41.10963601,-6.516350825
2009-08-10,1.9569999999999999,-0.057999999999999996,-6.36,11.00404336,0.795039504,972.0282143,0.27693821399999996,-41.08639166,-6.511304377
2009-08-11,1.4769999999999999,-0.021,-6.87,10.98691613,0.794908506,970.70375,0.27719435800000003,-41.0631473,-6.506257927999999
2009-08-12,1.306,0.049,-3.34,10.96978889,0.794777508,969.3792857000001,0.277450502,-41.03990295,-6.50121148
2009-08-13,0.877,0.41200000000000003,-2.83,10.95266166,0.79464651,968.0548213999999,0.277706645,-41.01665859,-6.496165032
2009-08-14,0.205,0.5670000000000001,1.41,10.93553443,0.794515512,966.7303571,0.277962789,-40.99341424,-6.4911185829999996
2009-08-15,-0.249,0.457,5.14,10.918407199999999,0.7943845140000001,965.4058928999999,0.278218933,-40.97016988,-6.486072135
2009-08-16,-0.703,0.408,8.48,10.90127997,0.7942535159999999,964.0814286,0.278475077,-40.94692553,-6.481025687000001
2009-08-17,-0.9490000000000001,0.631,2.38,10.88415273,0.794122518,962.7569642999999,0.27873122,-40.92368118,-6.475979238
2009-08-18,-0.976,0.955,-7.71,10.8670255,0.79399152,961.4325,0.27898736399999996,-40.90043682,-6.47093279
2009-08-19,-0.878,0.972,-14.71,10.84989827,0.7938605209999999,960.1080357000001,0.27924350800000003,-40.87719247,-6.465886342
2009-08-20,-0.695,0.6890000000000001,-15.41,10.83277104,0.793729523,958.7835713999999,0.279499652,-40.85394811,-6.460839892999999
2009-08-21,-0.413,0.39,-8.48,10.8156438,0.793598525,957.4591071000001,0.279755795,-40.83070376,-6.455793445
2009-08-22,-0.036000000000000004,-0.222,-8.22,10.79851657,0.793467527,956.1346428999999,0.280011939,-40.8074594,-6.450746997
2009-08-23,0.022000000000000002,-0.745,-6.36,10.78138934,0.7933365290000001,954.8101786000001,0.280268083,-40.78421505,-6.445700548
2009-08-24,0.059000000000000004,-0.825,-3.98,10.76426211,0.7932055309999999,953.4857142999999,0.280524227,-40.76097069,-6.4406541
2009-08-25,0.027000000000000003,-0.846,1.93,10.74713487,0.793074533,952.16125,0.28078037,-40.73772634,-6.435607652000001
2009-08-26,0.122,-0.794,-7.9,10.73000764,0.792943535,950.8367857000001,0.28103651399999996,-40.71448199,-6.430561203
2009-08-27,-0.10099999999999999,-0.62,-18.18,10.71288041,0.792812537,949.5123214,0.28129265800000003,-40.69123763,-6.425514755
2009-08-28,-0.134,-0.233,-0.64,10.69575318,0.792681539,948.1878571000001,0.281548802,-40.66799328,-6.420468307
2009-08-29,-0.266,0.7490000000000001,8.99,10.67862595,0.7925505409999999,946.8633929,0.281804945,-40.64474892,-6.415421857999999
2009-08-30,-0.47600000000000003,1.656,14.45,10.66149871,0.792419543,945.5389286000001,0.282061089,-40.62150457,-6.41037541
2009-08-31,-0.613,1.98,0.45,10.64437148,0.792288545,944.2144642999999,0.282317233,-40.59826021,-6.4053289620000005
2009-09-01,-0.4,2.088,0.3,10.62724425,0.7921575470000001,942.89,0.282573377,-40.57501586,-6.400282513
2009-09-02,-0.185,1.751,6.5,10.61011702,0.792026549,941.5655357,0.28282952,-40.5517715,-6.395236065
2009-09-03,-0.125,1.158,12.27,10.59298978,0.791895551,940.2410714,0.28308566399999996,-40.52852715,-6.390189617000001
2009-09-04,-0.057,0.879,10.47,10.57586255,0.7917645529999999,938.9166071000001,0.28334180800000003,-40.505282799999996,-6.385143168
2009-09-05,0.153,0.718,-4.87,10.55873532,0.791633555,937.5921429,0.283597951,-40.48203844,-6.38009672
2009-09-06,0.409,0.6920000000000001,-0.48,10.54160809,0.791502557,936.2676786000001,0.283854095,-40.45879409,-6.375050272
2009-09-07,0.511,0.7340000000000001,12.15,10.52448086,0.7913715590000001,934.9432142999999,0.284110239,-40.43554973,-6.370003822999999
2009-09-08,0.723,0.748,11.07,10.50735362,0.791240561,933.61875,0.284366383,-40.41230538,-6.364957375
